kappa,trial,name,variant,tape,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,0,U,raw,20263001,pooled,0.020009953810124343,0.04726665148424151,0.005790728593784603,2.2865892592449123e-05,0.011943216748156918,0.006235167519570651,0.020747405318028322,0.05137744562583188,0.0,0.01574788913106686,0.03375743393903552,0.06366448181821845,0.015150947804831307,0.003969173834872104,0.3061803277357358,0.3119710563295204
0,0,U,raw,20263001,0,0.018001151092833127,0.048657312026269946,0.006912392844219193,3.865276215069143e-05,0.014811027653589104,0.007624901261653934,0.020663658913147254,0.05166792836813798,0.0,0.01096498161347877,0.03437573652336068,0.06414454823693871,0.015980419726708005,0.004423747406498479,0.30712091084819915,0.3121599775075561
0,0,U,raw,20263001,1,0.0618772432949342,0.1276043831460157,0.024276805114466386,0.0007082279698271628,0.015297038716065275,0.005613009116238221,0.027392890582893625,0.05244765064611649,0.0,0.0425884907904471,0.032398089107477546,0.06043927999188056,0.03596270269496643,0.021820357318803798,0.2979897172162411,0.31017932137857473
0,0,U,raw,20263002,pooled,0.017444197824882997,0.04425801053165049,0.00367329585344015,2.740506514979234e-05,0.020230991409967494,0.0021831343454303195,0.02251818531461469,0.05171231294924363,0.0,0.011027429422334752,0.03246233986461938,0.06326870736371909,0.015150947804831307,0.003264946985086742,0.3099097039021473,0.3119710563295204
0,0,U,raw,20263002,0,0.0171597417695833,0.04648375085584432,0.004680543380305607,4.910445763291245e-05,0.021933790853061436,0.002834900702795292,0.02290303379403158,0.051802981279245125,0.0,0.012226301740425213,0.03158273869670536,0.06302856065342571,0.015980419726708005,0.0041238202366249204,0.30933300711809897,0.3121599775075561
0,0,U,raw,20263002,1,0.053235291316140146,0.13345928184629194,0.015506458433716907,0.0008908781346506227,0.005259071501688389,0.0031403554053329157,0.03602819452559369,0.05565250097850655,0.0,0.029875759982818238,0.04363159588328519,0.06564946761030639,0.03596270269496643,0.016376234272184716,0.3141247424105843,0.31017932137857473
0,0,U,raw,20263003,pooled,0.018244765549089364,0.04792190185522999,0.005080803844472496,1.010254946805678e-05,0.013631580592451092,0.0031265698495692006,0.02202255209095061,0.05179955609985128,0.0,0.013515030616208094,0.03429190546016292,0.0631511903150051,0.015150947804831307,0.0024103161529285787,0.3068902524850479,0.3119710563295204
0,0,U,raw,20263003,0,0.0178398181870361,0.05249357560961736,0.004343973102018892,6.817407713723242e-06,0.014079028521567352,0.002331988345393733,0.02204540086092699,0.05192573001539611,0.0,0.011036864333201661,0.03515646944715817,0.06450702005186222,0.015980419726708005,0.0022477662008785902,0.30796564237328633,0.3121599775075561
0,0,U,raw,20263003,1,0.0507023419413253,0.1285858118523224,0.012999233957706633,5.810600289653798e-05,0.009435200634361707,0.010421793948382474,0.0317389788393192,0.052315135875129565,0.0,0.03805998454344273,0.02761008171573287,0.05355453454545114,0.03596270269496643,0.009172957991726119,0.2978028472064807,0.31017932137857473
0,0,U,gap,20263001,pooled,0.020461207418920258,0.045509371719455245,0.007410696911577621,3.2801829938803066e-05,0.012667483915709293,0.0063774181090730875,0.02068340122176615,0.05134482656951561,0.0,0.016032301228411358,0.03387045110125775,0.06361926569313839,0.015150947804831307,0.0036880331297172966,0.31925589878951344,0.3119710563295204
0,0,U,gap,20263001,0,0.018876459377033528,0.048271800195595356,0.007827007407857437,6.649328771329854e-05,0.015565274816385588,0.007701780124395729,0.020616012639085968,0.05165356674155556,0.0,0.01271880838466492,0.03448042945497487,0.06409810271961275,0.015980419726708005,0.005231403689359183,0.31977067375242274,0.3121599775075561
0,0,U,gap,20263001,1,0.06075639168893168,0.12706164830076355,0.016674157458537463,0.0004302048985571126,0.014833398572772868,0.004918081503451394,0.027188642216880554,0.05229006919006876,0.0,0.042276609368393815,0.03259378382372019,0.0603591083286344,0.03596270269496643,0.016825640883617363,0.31469204651156013,0.31017932137857473
0,0,U,gap,20263002,pooled,0.01831253246880564,0.04524916268223543,0.01259029935304477,3.137276812001919e-05,0.0210929142223696,0.002110468201849714,0.022475515917106614,0.05165782481218928,0.0,0.011669799158250616,0.03235619425845765,0.06322103004630407,0.015150947804831307,0.0036400456304600632,0.32456135568256517,0.3119710563295204
0,0,U,gap,20263002,0,0.01811483656435024,0.04600627060180557,0.01148094856965581,5.641854857693613e-05,0.02280335247893056,0.002767215758939432,0.022855387519970294,0.051762606568156386,0.0,0.012353025942981977,0.03144090017668266,0.0629788927275362,0.015980419726708005,0.0048598008995951476,0.32364092607721184,0.3121599775075561
0,0,U,gap,20263002,1,0.052521610826304355,0.1305208187997663,0.021854271073341133,0.0013511027519063188,0.006027768890566262,0.0032576962955445576,0.036232442891606764,0.05564470277429779,0.0,0.03080400350335293,0.043755308347316,0.06565428564229125,0.03596270269496643,0.020302670088941585,0.33147442355564166,0.31017932137857473
0,0,U,gap,20263003,pooled,0.017944261271946614,0.04788988005812795,0.008374671161429167,2.387995093731227e-06,0.013639012066594625,0.0031947551133477917,0.021787870404656018,0.051746775435409155,0.0,0.013381730350310306,0.03441156163489467,0.06314261892750624,0.015150947804831307,0.0017514484837982819,0.32034572749094953,0.3119710563295204
0,0,U,gap,20263003,0,0.01757708914883296,0.0519294436762264,0.00902707560600907,1.376417515898653e-06,0.01422371497358585,0.0023895136235456303,0.022021577723896346,0.051910057023228984,0.0,0.010869749390376342,0.035270598641406026,0.0645172163028443,0.015980419726708005,0.0021563417686039565,0.3211870531135651,0.3121599775075561
0,0,U,gap,20263003,1,0.051510128568961554,0.12677990232393263,0.011994956662017876,0.0001107805477575187,0.008302977481251375,0.010594665712142716,0.030717737009253843,0.0518625149243473,0.0,0.039070511354018914,0.02777429826054978,0.05344672823975501,0.03596270269496643,0.01182004041179667,0.313358889539362,0.31017932137857473
0,0,U,direct,20263001,pooled,0.013330788075402186,0.04304538101745965,0.0071015973654180034,8.518221405445287e-05,0.016020295731825743,0.0063796889528256245,0.021202887455555708,0.05146467962872639,0.0,0.009088863801476683,0.03415840204561399,0.06372311696172203,0.015150947804831307,0.0060689920922772905,0.31709077417663084,0.3119710563295204
0,0,U,direct,20263001,0,0.014324488274459915,0.04678905572250945,0.007481646244700323,9.908809158900656e-05,0.019269899450303163,0.0076683550591296655,0.021310592634450676,0.05183008311746236,0.0,0.008164170638236498,0.03472261845770208,0.06423834463905163,0.015980419726708005,0.006339559132185031,0.3175786769870169,0.3121599775075561
0,0,U,direct,20263001,1,0.04936544404245348,0.12099639251593512,0.0037101162955506853,2.094035636224516e-05,0.015161638744707398,0.0045954214091748925,0.027188642216880554,0.05259325646366474,0.0,0.029859083302642742,0.033131913040238825,0.06023725511062536,0.03596270269496643,0.004049239627042787,0.3126392067199657,0.31017932137857473
0,0,U,direct,20263002,pooled,0.01724697937011392,0.045570357186117766,0.009575320971889454,1.957746402363447e-05,0.01934245970966099,0.002135120737924162,0.022368842423336366,0.05155127594188328,0.0,0.009961756687243823,0.032352236534122836,0.06339075275519007,0.015150947804831307,0.0032029719019644656,0.3215463773014099,0.3119710563295204
0,0,U,direct,20263002,0,0.017045350278891248,0.046742337995398564,0.010072792186117853,1.1361893551861546e-05,0.021655244352090403,0.0028267258161595505,0.022736271834816857,0.05168986387194556,0.0,0.00980127280092595,0.03156700262370227,0.06317345594034796,0.015980419726708005,0.0032186489885536397,0.3222327696936739,0.3121599775075561
0,0,U,direct,20263002,1,0.04843322382835511,0.12520691429427602,0.011092723878383242,0.00036299121058182293,0.0011461527394614895,0.003515639295113826,0.03602819452559369,0.056340775882381684,0.0,0.021913107745605405,0.042502557132631125,0.0657875658663216,0.03596270269496643,0.012165575866897784,0.3152998599340016,0.31017932137857473
0,0,U,direct,20263003,pooled,0.015730686213558314,0.043391808084685075,0.008960877489887371,1.5524521317708778e-05,0.012757938484393869,0.0030443656548938365,0.022657294479781487,0.05223300822364562,0.0,0.00872408231127974,0.03415504953237425,0.06320953995809526,0.015150947804831307,0.003718900208897942,0.32093193381940777,0.3119710563295204
0,0,U,direct,20263003,0,0.016725182926050724,0.04735420286642611,0.009185119841878675,1.2717014417603024e-05,0.013688907704423353,0.0022846337011775864,0.02278864489254384,0.05242297790959079,0.0,0.008615940609972585,0.035070208553765525,0.06463495348451717,0.015980419726708005,0.004094868449652722,0.3213450973494347,0.3121599775075561
0,0,U,direct,20263003,1,0.0453163662554581,0.11984512561640637,0.007160772768713596,3.1343945906809126e-05,0.004484631963013672,0.01001784170041128,0.029696495179188487,0.052013340474018795,0.0,0.028502996676915176,0.028623158783247393,0.05332577723844845,0.03596270269496643,0.0013345838930660715,0.31734009414728837,0.31017932137857473
0,0,G,raw,20263001,pooled,0.01971998829209867,0.046774174229732644,0.006377405003497388,2.2006166350106303e-05,0.011426796604204398,0.00638873147454452,0.02068340122176615,0.051433274365810994,0.0,0.014738590707163105,0.03379460503545295,0.06370739064505407,0.015150947804831307,0.003513937747787635,0.305593651326023,0.3119710563295204
0,0,G,raw,20263001,0,0.018682158122889186,0.04912161920604638,0.0072795235716149095,4.006612080154439e-05,0.013842806987095599,0.007778569468510994,0.020616012639085968,0.05175901824311562,0.0,0.01139490973138942,0.03438124637825285,0.06417401818248342,0.015980419726708005,0.004564652186097533,0.3065232526565321,0.3121599775075561
