kappa,trial,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,0,C,direct,0,0.015727104060197023,0.046936546502659625,0.008740273683919322,4.092673504373231e-05,0.017484254641549943,0.004440861773145108,0.022188339683111107,0.05190541416963276,0.0,0.008931128027942258,0.03413797447950687,0.06399255303411427,0.015980419726708005,0.004854144834449293,0.3205039167529435,0.3121599775075561
0,0,C,direct,1,0.04834547668346717,0.12220947591033222,0.007377217313553191,0.00011004599206949584,0.009828069557941821,0.006152807880103078,0.030314169142536467,0.0528272596295975,0.0,0.026634300072398944,0.034686077955687365,0.05973379581493532,0.03596270269496643,0.006598189253930978,0.3157799490761605,0.31017932137857473
0,0,C,direct,pooled,0.015518991872053994,0.04418221849311523,0.008512335988267684,4.1871084421009435e-05,0.015223914209114583,0.004043487296256817,0.021968949662487042,0.05171503854398842,0.0,0.008694247858024766,0.033866359854327045,0.06341284076080769,0.015150947804831305,0.004684274209493788,0.3200350170170341,0.3119710563295204
0,0,C,gap,0,0.017281646574694054,0.04784890531200544,0.008914566395988185,2.46844174931512e-05,0.017500367072925228,0.004518787625279664,0.02211050482089738,0.05185260377534389,0.0,0.011347425689078155,0.033725756554553975,0.06371919175895552,0.015980419726708005,0.003660308893244805,0.3210418218647774,0.3121599775075561
0,0,C,gap,1,0.054786661114508146,0.12857622785920475,0.017472714395054767,0.00032751187059788643,0.008873119354598974,0.006116014935423678,0.029745620444475818,0.0523589151022121,0.0,0.03434432685759755,0.03433580933279031,0.05970360396040101,0.03596270269496643,0.013060261938771705,0.31975452032437557,0.31017932137857473
0,0,C,gap,pooled,0.017770130640105297,0.046056704060208085,0.008949394531604987,1.9166480348348377e-05,0.015913946043555862,0.004078015725526404,0.021990284361241137,0.05166536785098297,0.0,0.012747428476450065,0.03350329057552859,0.06317641142369752,0.015150947804831305,0.0034028425821932364,0.32092045086112536,0.3119710563295204
0,0,C,raw,0,0.017056046439545034,0.048302911943499595,0.004626968787438324,2.0364381218425896e-05,0.017436806461782802,0.00447107261494997,0.02217403318631254,0.051871175022686046,0.0,0.01123748314611106,0.03383826606845275,0.06376374931960073,0.015980419726708005,0.0035949562680027323,0.3148348090255121,0.3121599775075561
0,0,C,raw,1,0.054818586329558605,0.12930411492638236,0.016382546552650364,0.00024025329167142893,0.008187867480752254,0.006339573641643385,0.03035836554251503,0.05278513571070927,0.0,0.03397623977282375,0.03461864616193416,0.05969172596702487,0.03596270269496643,0.012927055642360059,0.31294718949320216,0.31017932137857473
0,0,C,raw,pooled,0.01799692527234478,0.04637028057413981,0.004827894529024899,1.7806004020879064e-05,0.0158470145699926,0.004039808578973498,0.022068511590005963,0.05168407153065269,0.0,0.012549643315060944,0.03359516047384131,0.06321491020620656,0.015150947804831305,0.0035428138193259284,0.31464658866837464,0.3119710563295204
0,0,G,direct,0,0.01573721217679098,0.04684467942667051,0.0086344912632974,3.554813133774087e-05,0.01810373673129571,0.004232957586979493,0.022342031486018932,0.052006839828040254,0.0,0.00875394076841367,0.03392886361959315,0.06408695860060677,0.015980419726708005,0.004605221371587828,0.3203676589796711,0.3121599775075561
