kappa,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,C,direct,0,0.01631357570586719,0.046776689400742616,0.008140115725386183,3.0137671950766892e-05,0.0229480436298231,0.005385706002937673,0.025260991087064547,0.053289459118011556,0.0,0.0091168666298227,0.03436026361510238,0.06540764716551119,0.015980419726708005,0.004144542916933617,0.32007792242392685,0.3121599775075561
0,C,direct,1,0.04819117696938913,0.12241863687638294,0.009366495511665546,0.00014734799681527917,0.010728561440043511,0.006289661370348225,0.033399820367821506,0.055392510810136825,0.0,0.025298421038141807,0.0356966742177052,0.06165628887205959,0.03596270269496643,0.008787458695520755,0.31487095465791587,0.31017932137857473
0,C,direct,pooled,0.01610110673050449,0.04410358758636029,0.007906863277938141,2.9954967720639226e-05,0.02045393331740359,0.005000430398613124,0.02544292559188542,0.05327344927739106,0.0,0.009053724551395184,0.03417372064963466,0.06489659234056835,0.015150947804831307,0.0038333636507084327,0.31955448803106695,0.3119710563295204
0,C,gap,0,0.018121754325611417,0.04880644222458127,0.008632109595973107,4.0082387838245664e-05,0.02267206463995454,0.005355376344392921,0.02516690715712594,0.053397177154825254,0.0,0.012329035072697047,0.03410641960017659,0.06521505927538968,0.015980419726708005,0.004113790119502952,0.32041223732719887,0.3121599775075561
0,C,gap,1,0.054893640475808275,0.12831915276356542,0.01482158063576954,0.0002653916872581186,0.010562542644882295,0.00636994158672212,0.03370957791872213,0.05514205033811245,0.0,0.033867414919830946,0.03584134712683415,0.06176006237358204,0.03596270269496643,0.011103472174644552,0.31944667275728666,0.31017932137857473
0,C,gap,pooled,0.01871356332197132,0.04688474610672405,0.008686947779725842,3.3933058830219113e-05,0.020545544897746716,0.0049611813566391464,0.02537418045145571,0.05337062364046016,0.0,0.013526776259079465,0.03395201558223752,0.06474749414586572,0.015150947804831307,0.003625005840146772,0.3203256656617022,0.3119710563295204
0,C,raw,0,0.018091671935706145,0.04897378161066521,0.006190120485352714,4.500501932535403e-05,0.022687574588130473,0.005332616852891246,0.025201318355059153,0.0534146607255919,0.0,0.012402925070619915,0.03415660379305928,0.06523756113943277,0.015980419726708005,0.004296422707102769,0.3172825423148224,0.3121599775075561
0,C,raw,1,0.054903706558075166,0.12844689975332793,0.014441302746466203,0.00019449189855487938,0.010289372065063314,0.006434262402512366,0.03392894268196208,0.055322409790094104,0.0,0.03378820693962695,0.03601730374335215,0.06173811939283217,0.03596270269496643,0.011258845303030188,0.3166960557593803,0.31017932137857473
0,C,raw,pooled,0.018866164460841904,0.04696906317627657,0.00633672760502728,3.960396675317039e-05,0.020547137823729484,0.004939436313758669,0.025409738282712452,0.05338754027799443,0.0,0.013565785090314348,0.03399518004132312,0.0647654377900499,0.015150947804831307,0.0037882241774802317,0.31723265422326297,0.3119710563295204
0,G,direct,0,0.016174919950826948,0.04672020978084173,0.008040319974749155,3.3022985980047773e-05,0.022671556765084745,0.0053919705290244955,0.02548732612682238,0.05347259409819936,0.0,0.009024990017732465,0.03433338398003334,0.06543857579456319,0.015980419726708005,0.004235057098546225,0.3199528476731486,0.3121599775075561
0,G,direct,1,0.04794889331622724,0.12258797205417064,0.008747799310102784,0.00014381683648179115,0.008590205958777068,0.006220525140892901,0.03381547136751037,0.05552268204185938,0.0,0.025556441478145578,0.035831532249096305,0.0617220189993527,0.03596270269496643,0.00860807595930927,0.31451979835534893,0.31017932137857473
0,G,direct,pooled,0.015877699128425973,0.04407709035972556,0.007736450637729768,2.9858670598671307e-05,0.020276074026090458,0.005005934905416618,0.02564998917580707,0.053432161122069666,0.0,0.009145649890371206,0.03415900292497467,0.06493083212078803,0.015150947804831307,0.00380184642624626,0.3194037434060897,0.3119710563295204
