kappa,name,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
0,C,direct,0,0.31215997750755603,0.3172704970765818,0.005110519569025751,0.21474671167354223,0.21474220839988342,3.4742397035116706,4.1588830833596715,0.005110519569071484
0,C,direct,1,0.31017932137857473,0.3118370113081976,0.001657689929622841,0.21394141926868956,0.2139709041869123,3.481643057608402,4.1588830833596715,0.00639087528517763
0,C,direct,pooled,0.3119710563295204,0.3167522342054133,0.004781177875892939,0.214669900364622,0.21466778354492125,3.4749458585867004,4.1588830833596715,0.0047811778759492465
0,C,gap,0,0.31215997750755603,0.31480908740830416,0.0026491099007481256,0.15953612149978794,0.21474220839988342,3.348749967428836,4.1588830833596715,0.002858142953760032
0,C,gap,1,0.31017932137857473,0.31052774236228314,0.00034842098370842695,0.15955995529840442,0.2139709041869123,3.3586373786383845,4.1588830833596715,0.003051446033610045
0,C,gap,pooled,0.3119710563295204,0.3144007193236899,0.0024296629941695422,0.15953839484206367,0.21466778354492125,3.349693059642622,4.1588830833596715,0.0025319956326363222
0,C,raw,0,0.31215997750755603,0.31303008397420246,0.0016010330279785563,0.1595240160350864,0.21474220839988342,3.348735729853312,4.1588830833596715,0.002199126572209905
0,C,raw,1,0.31017932137857473,0.30836408336957294,0.0021935894787662447,0.15955883849717248,0.2139709041869123,3.358680089314779,4.1588830833596715,0.004367401570553883
0,C,raw,pooled,0.3119710563295204,0.3125850558280945,0.001540128433932253,0.15952733751046172,0.21466778354492125,3.349684158960978,4.1588830833596715,0.0019981879442891076
0,G,direct,0,0.31215997750755603,0.3172704970765818,0.005110519569025751,0.21474671167354223,0.21474220839988342,3.4739118688358808,4.1588830833596715,0.005110519569071484
0,G,direct,1,0.31017932137857473,0.3118370113081976,0.001657689929622841,0.21394141926868956,0.2139709041869123,3.481363455883129,4.1588830833596715,0.00639087528517763
0,G,direct,pooled,0.3119710563295204,0.3167522342054133,0.004781177875892939,0.214669900364622,0.21466778354492125,3.4746226245206273,4.1588830833596715,0.0047811778759492465
0,G,gap,0,0.31215997750755603,0.3145936378351468,0.0024336603275908106,0.15868679814513922,0.21474220839988342,3.3457316119666216,4.1588830833596715,0.002830980710527712
0,G,gap,1,0.31017932137857473,0.31009899512322137,0.0002472515250503404,0.15909014051372583,0.2139709041869123,3.3565376718062114,4.1588830833596715,0.0030604840630126078
0,G,gap,pooled,0.3119710563295204,0.31416492475186014,0.0021938684223397433,0.1587252702021057,0.21466778354492125,3.34676232776072,4.1588830833596715,0.0024803538334243155
