epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,16,36.6277,0.3,0.00071,
1.0,1,126,2016,28.1296,27.4,0.00071,26.0554
2.0,1,252,4025,24.8731,54.6,0.00071,23.6422
3.0,1,378,6034,22.7537,81.9,0.00071,21.7136
4.0,1,504,8043,21.2107,109.1,0.00071,20.3435
5.0,1,630,10052,19.8767,136.4,0.00071,19.324
6.0,1,756,12061,19.0573,163.7,0.00071,18.4962
7.0,1,882,14070,18.4313,191.0,0.00071,18.1441
8.0,1,1008,16079,18.0848,218.2,0.00071,17.8618
9.0,1,1134,18088,17.6793,245.6,0.00071,17.7336
10.0,1,1260,20097,17.4509,273.4,0.00071,17.3416
11.0,1,1386,22106,17.2217,301.2,0.00071,17.2807
12.0,1,1512,24115,16.9615,329.4,0.00071,17.1245
13.0,1,1638,26124,16.7444,357.4,0.00071,16.9518
14.0,1,1764,28133,16.6796,385.6,0.00071,16.8254
15.0,1,1890,30142,16.4089,413.8,0.00071,16.7627
16.0,1,2016,32151,16.3402,442.0,0.00071,16.7606
17.0,1,2142,34160,16.1905,470.1,0.00071,16.6371
18.0,0,2268,36169,16.0557,498.2,0.00071,16.6851
19.0,1,2394,38178,15.9698,526.3,0.00071,16.5393
20.0,1,2520,40187,15.8534,554.3,0.00071,16.4999
21.0,0,2646,42196,15.6867,582.3,0.00071,16.5075
22.0,1,2772,44205,15.6674,609.9,0.00071,16.4516
23.0,1,2898,46214,15.5595,637.4,0.00071,16.4056
24.0,1,3024,48223,15.4554,664.9,0.00071,16.3279
25.0,0,3150,50232,15.3925,692.4,0.00071,16.4183
26.0,0,3276,52241,15.2794,719.9,0.00071,16.3862
27.0,1,3402,54250,15.1808,747.5,0.00071,16.3072
28.0,1,3528,56259,15.1072,775.3,0.00071,16.209
29.0,1,3654,58268,14.9942,803.2,0.00071,16.2001
30.0,0,3780,60277,14.9267,830.8,0.00071,16.2996
31.0,1,3906,62286,14.8027,858.2,0.00071,16.1606
32.0,0,4032,64295,14.8103,885.6,0.00071,16.2391
33.0,0,4158,66304,14.685,912.9,0.00071,16.2286
34.0,1,4284,68313,14.6247,940.4,0.00071,16.1197
35.0,1,4410,70322,14.6142,967.8,0.00071,16.0649
36.0,0,4536,72331,14.4553,995.2,0.00071,16.1361
37.0,0,4662,74340,14.3927,1022.6,0.00071,16.1226
38.0,1,4788,76349,14.3158,1050.2,0.00071,16.0059
39.0,0,4914,78358,14.2588,1077.7,0.00071,16.1135
40.0,0,5040,80367,14.1469,1105.6,0.00071,16.0714
41.0,0,5166,82376,14.1571,1133.5,0.00071,16.0093
42.0,1,5292,84385,13.9726,1161.4,0.000355,15.978
43.0,1,5418,86394,13.8825,1189.3,0.000355,15.954
44.0,0,5544,88403,13.8406,1217.2,0.000355,16.0848
45.0,0,5670,90412,13.7623,1245.0,0.000355,16.0046
