prevalence,kappa,trial,repeat,source,group,empirical_L1,Ucal_curve_L1,Ecal_curve_L1,mark_TV_transition_mean,mark_TV_entity_mean,signed_repeat_difference,absolute_repeat_difference,early_absolute_repeat_difference,early_mark_TV,early_signed_repeat_difference,early_transitions,late_absolute_repeat_difference,late_mark_TV,late_signed_repeat_difference,late_transitions,middle_absolute_repeat_difference,middle_mark_TV,middle_signed_repeat_difference,middle_transitions
0.05,0,0,0,Ecal,context_0,0.0055899755742903024,0.004733364887775595,0.004972831732647651,0.023894271236064937,0.023909731213946843,0.0006325169085269237,0.014799436343091766,0.01569299627860306,0.02442115016107517,-0.0013818345720422159,19580,0.013883824086999681,0.0233035116866129,0.002252360829784671,7399,0.014197454958785993,0.023560455433408855,0.0021741102165649742,17810
0.05,0,0,0,Ecal,context_1,0.01736058358121196,0.014914442777685609,0.014535214343299742,0.022564738609232117,0.0225431293512266,0.00016505700557896646,0.015820716162551138,0.01722213339474466,0.023384319729068213,0.002057642853922314,900,0.01415885007131131,0.02133495941864488,-0.0018426752465916432,381,0.015045278473400776,0.022232544613875634,-0.0009934383961889479,810
0.05,0,0,0,Ecal,pooled,0.006082785135097319,0.005256938168619074,0.005446106773162435,0.023834969770136875,0.023849675468026518,0.0006116666812004693,0.014844988734356475,0.015760194687027253,0.024375586323731113,-0.001230685661721509,20480,0.013897292583146561,0.023207108291484903,0.002051819859977553,7780,0.014234336647660212,0.023502689173268042,0.0020363167484483964,18620
0.05,0,0,1,Ecal,context_0,0.007332016636112524,0.005459138137526824,0.005653900134423208,0.024008551128352217,0.02404612746480947,0.0008639369680857067,0.014877459079113012,0.01599487355083562,0.024756990721720613,-0.0011744316663513145,19580,0.013922348693023261,0.023368480594045553,0.0024808342170193317,7399,0.014045785097661545,0.023451641226341087,0.002433158479451062,17810
0.05,0,0,1,Ecal,context_1,0.03192110799061789,0.01848848554067801,0.018155452558159067,0.02266000536973497,0.022627434889771994,0.0014426419391180556,0.015612796511962504,0.016521520159310764,0.023543451144101304,0.005842947935064634,900,0.01541777348189842,0.02243482848425247,-0.0006455213339935763,381,0.01469483662534643,0.021784315488795624,-0.002464376813099708,810
0.05,0,0,1,Ecal,pooled,0.007442712999797533,0.005356289975620336,0.005610036528605996,0.0239484016150999,0.023983782576258016,0.0008897490861409251,0.014910257512817967,0.016018017200622126,0.024703661345751016,-0.0008660507268359652,20480,0.013995582220601852,0.023322758042139232,0.0023277312009607307,7780,0.014074019884848698,0.023379109870411342,0.0022201078034593262,18620
0.05,0,0,2,Ecal,context_0,0.0033573116199121277,0.003970858817468258,0.003962795392358088,0.023902491083522822,0.023899518916228126,0.0005482452260521412,0.014771290380803725,0.01593655747103679,0.024658336156837223,-0.0014332168066799945,19580,0.013734006885943147,0.023310616335926362,0.0015518003220025842,7399,0.013921146133286039,0.023317417232987744,0.002309711955190709,17810
0.05,0,0,2,Ecal,context_1,0.012967972880032815,0.008261252049332155,0.008883025492785492,0.023177253637858813,0.023037774991325238,0.0015212393805406014,0.01633385215212944,0.017141082787679302,0.023569643621643384,0.004531876564853721,900,0.01643506005367269,0.023555629250527486,0.0018362394311609543,381,0.015389324025607403,0.022563288089916984,-0.0019720797369509567,810
0.05,0,0,2,Ecal,pooled,0.003135441705940583,0.003937105926036392,0.003983002466669485,0.02387014314199374,0.023861649310153294,0.0005916439201015305,0.014840985702131415,0.015989490712490805,0.024610493223161712,-0.0011710789143762669,20480,0.013866282111766406,0.02332261504035606,0.0015657297950860468,7780,0.013985014237087343,0.023284611400233322,0.0021234471178848686,18620
0.05,0,0,3,Ecal,context_0,0.0067903456645396956,0.0036409139413535172,0.0035957355472477316,0.023989732804403537,0.023999853134003404,0.00037319335309913887,0.014816799441091278,0.015802246684339792,0.024638171194448725,-0.0018090925001528826,19580,0.014005675769920428,0.023495638487225037,0.00244485052985458,7399,0.014070389953173659,0.02348211799113677,0.0019117091058145274,17810
0.05,0,0,3,Ecal,context_1,0.017366591807088244,0.008241868863415717,0.007956123339790446,0.02357002413331249,0.023386625782544208,-0.0003457667759478463,0.016744608192253433,0.01720113791525364,0.023469548784196378,0.0028156282587183845,900,0.013304727010213797,0.021241278907655693,-0.0011606108876350983,381,0.017855371130101473,0.024777036164398594,-0.0034751493989685434,810
0.05,0,0,3,Ecal,pooled,0.006254146588383032,0.003910415420897774,0.0038575405683695992,0.023971012436842715,0.02397290466640998,0.00034112540024424883,0.01490278596196756,0.015863721396635812,0.024586815717435685,-0.0016058577011790476,20480,0.013971349101867958,0.0233852386157834,0.0022682848743194174,7780,0.01423504273262111,0.023538449018007987,0.0016773720817074228,18620
0.05,0,0,4,Ecal,context_0,0.006884477974602812,0.005612691883328155,0.006259631280398241,0.023938380555784892,0.02400297663138905,0.0006233975163163832,0.01486885329921092,0.015719043461375693,0.024485045954207172,-0.001413031311114,19580,0.014188141106012497,0.02341814648565436,0.002112282770101179,7399,0.01421696481758761,0.02355351269412221,0.0022436678390751253,17810
0.05,0,0,4,Ecal,context_1,0.02341567663141648,0.005545027438725874,0.004901440973764908,0.023294586226571705,0.02330617658409639,-0.0007007401534554377,0.01656813444217844,0.01687366637090842,0.023171465629453047,0.0024836335165633098,900,0.017068083498265173,0.023758463116651134,-0.004532247644866232,381,0.015993493298689525,0.023213192945443967,-0.002436705522331191,810
0.05,0,0,4,Ecal,pooled,0.006189516039431093,0.005475579927854439,0.0060622257994128355,0.02390966524131423,0.023972355535560763,0.0005643366829654259,0.014944646747801897,0.015769783725954768,0.024427320256342,-0.001241791157553962,20480,0.0143291768452732,0.02343481237722374,0.0017868886713733403,7780,0.01429424666880633,0.02353870823674147,0.0020400640569731322,18620
0.05,0,0,0,Ucal,context_0,0.0037725858878624283,0.003712880722593484,0.003350257540514586,0.02375065024523107,0.023769157264547244,-0.00041007811324659057,0.014639477384764068,0.015572498427880919,0.02426586978228342,-0.0023828891346628746,19580,0.01369051551686733,0.02313686319139934,0.0011123965089909853,7399,0.014007967942671987,0.023439219132138197,0.0011262975223174194,17810
0.05,0,0,0,Ucal,context_1,0.014190714344956216,0.013586936794982053,0.012492427461691463,0.02236864830932697,0.022436428743961744,-0.001196046192813638,0.015505835535080453,0.016600146086679566,0.022882255302974955,0.0007534307655360963,900,0.013829634219329813,0.021130169090983555,-0.0032571560050558856,381,0.015078370355897479,0.022380517800568524,-0.00239264671633273,810
