col1,col2,type,accuracy,accuracy_max
ctx::district_id,tgt::account,ctx,0.92,0.90971
ctx::date,tgt::account,ctx,0.00133,0.92216
ctx::frequency,tgt::account,ctx,0.96933,0.96491
ctx::district_id,tgt::amount,ctx,0.90222,0.88845
ctx::date,tgt::amount,ctx,0.00133,0.90173
ctx::frequency,tgt::amount,ctx,0.936,0.95413
ctx::district_id,tgt::balance,ctx,0.86356,0.88289
ctx::date,tgt::balance,ctx,0.00133,0.89625
ctx::frequency,tgt::balance,ctx,0.89556,0.95176
ctx::district_id,tgt::bank,ctx,0.92,0.91296
ctx::date,tgt::bank,ctx,0.00133,0.92493
ctx::frequency,tgt::bank,ctx,0.96222,0.96646
ctx::district_id,tgt::date,ctx,0.90133,0.89357
ctx::date,tgt::date,ctx,0.00133,0.9068
ctx::frequency,tgt::date,ctx,0.95778,0.95659
ctx::district_id,tgt::k_symbol,ctx,0.92711,0.91073
ctx::date,tgt::k_symbol,ctx,0.00133,0.92159
ctx::frequency,tgt::k_symbol,ctx,0.95644,0.9646
ctx::district_id,tgt::operation,ctx,0.92978,0.91896
ctx::date,tgt::operation,ctx,0.00133,0.92902
ctx::frequency,tgt::operation,ctx,0.97378,0.96764
ctx::district_id,tgt::type,ctx,0.95956,0.94493
ctx::date,tgt::type,ctx,0.00133,0.9521
ctx::frequency,tgt::type,ctx,0.98133,0.97975
nxt::account,tgt::account,nxt,0.91556,0.92872
nxt::amount,tgt::amount,nxt,0.87911,0.89506
nxt::balance,tgt::balance,nxt,0.84711,0.91146
nxt::bank,tgt::bank,nxt,0.91111,0.93418
nxt::date,tgt::date,nxt,0.89378,0.90772
nxt::k_symbol,tgt::k_symbol,nxt,0.91956,0.93683
nxt::operation,tgt::operation,nxt,0.928,0.94549
nxt::type,tgt::type,nxt,0.98089,0.97563
