col1,col2,type,accuracy,accuracy_max
tgt::account,ctx::date,ctx,0.00133,0.96863
tgt::account,ctx::frequency,ctx,0.96711,0.99094
tgt::amount,ctx::district_id,ctx,0.85822,0.88307
tgt::amount,ctx::date,ctx,0.00133,0.89675
tgt::amount,ctx::frequency,ctx,0.908,0.95118
tgt::balance,ctx::district_id,ctx,0.19911,0.88312
tgt::balance,ctx::date,ctx,0.00133,0.8968
tgt::balance,ctx::frequency,ctx,0.19867,0.95119
tgt::bank,ctx::district_id,ctx,0.95733,0.96336
tgt::bank,ctx::date,ctx,0.00133,0.96895
tgt::bank,ctx::frequency,ctx,0.97111,0.99144
tgt::date,ctx::district_id,ctx,0.89422,0.89664
tgt::date,ctx::date,ctx,0.00133,0.91527
tgt::date,ctx::frequency,ctx,0.948,0.95738
tgt::k_symbol,ctx::district_id,ctx,0.95333,0.96409
tgt::k_symbol,ctx::date,ctx,0.00133,0.96937
tgt::k_symbol,ctx::frequency,ctx,0.96267,0.99185
tgt::operation,ctx::district_id,ctx,0.91289,0.96336
tgt::operation,ctx::date,ctx,0.00133,0.96895
tgt::operation,ctx::frequency,ctx,0.91956,0.99144
tgt::type,ctx::district_id,ctx,0.92533,0.96458
tgt::type,ctx::date,ctx,0.00133,0.96987
tgt::type,ctx::frequency,ctx,0.93289,0.99222
tgt::account,nxt::account,nxt,0.93733,0.97147
tgt::amount,nxt::amount,nxt,0.82933,0.88242
tgt::balance,nxt::balance,nxt,0.19378,0.88262
tgt::bank,nxt::bank,nxt,0.91733,0.97273
tgt::date,nxt::date,nxt,0.88533,0.90852
tgt::k_symbol,nxt::k_symbol,nxt,0.92667,0.99028
tgt::operation,nxt::operation,nxt,0.90622,0.98695
tgt::type,nxt::type,nxt,0.92667,0.99877
tgt::account,tgt::Sequence Length,tgt,0.952,0.9631
tgt::amount,tgt::Sequence Length,tgt,0.85644,0.88242
tgt::balance,tgt::Sequence Length,tgt,0.19911,0.88244
tgt::bank,tgt::Sequence Length,tgt,0.95556,0.9631
tgt::date,tgt::Sequence Length,tgt,0.876,0.90499
tgt::k_symbol,tgt::Sequence Length,tgt,0.94978,0.96383
tgt::operation,tgt::Sequence Length,tgt,0.91778,0.9631
tgt::type,tgt::Sequence Length,tgt,0.92889,0.96432
tgt::amount,tgt::account,tgt,0.89689,0.96315
tgt::balance,tgt::account,tgt,0.19244,0.96316
tgt::bank,tgt::account,tgt,0.96844,0.99819
tgt::date,tgt::account,tgt,0.94178,0.96825
tgt::k_symbol,tgt::account,tgt,0.95422,0.99819
tgt::operation,tgt::account,tgt,0.91911,0.99819
tgt::type,tgt::account,tgt,0.928,0.99819
tgt::balance,tgt::amount,tgt,0.13156,0.96205
tgt::bank,tgt::amount,tgt,0.9,0.96384
tgt::date,tgt::amount,tgt,0.86044,0.89625
tgt::k_symbol,tgt::amount,tgt,0.89822,0.96403
tgt::operation,tgt::amount,tgt,0.87467,0.96384
tgt::type,tgt::amount,tgt,0.88044,0.96437
tgt::bank,tgt::balance,tgt,0.19378,0.96385
tgt::date,tgt::balance,tgt,0.19733,0.89625
tgt::k_symbol,tgt::balance,tgt,0.19111,0.96404
tgt::operation,tgt::balance,tgt,0.17822,0.96385
tgt::type,tgt::balance,tgt,0.17778,0.96438
tgt::date,tgt::bank,tgt,0.94444,0.96854
tgt::k_symbol,tgt::bank,tgt,0.95733,0.99865
tgt::operation,tgt::bank,tgt,0.91956,0.99888
tgt::type,tgt::bank,tgt,0.92844,0.99888
tgt::k_symbol,tgt::date,tgt,0.94133,0.969
tgt::operation,tgt::date,tgt,0.90356,0.96854
tgt::type,tgt::date,tgt,0.91556,0.96948
tgt::operation,tgt::k_symbol,tgt,0.91867,0.99865
tgt::type,tgt::k_symbol,tgt,0.924,0.99929
tgt::type,tgt::operation,tgt,0.916,0.99888
ctx::district_id,tgt::Sequence Length,ctx,0.90178,0.883
ctx::date,tgt::Sequence Length,ctx,0.00133,0.90508
ctx::frequency,tgt::Sequence Length,ctx,0.96089,0.95126
ctx::district_id,tgt::account,ctx,0.95378,0.96336
ctx::date,tgt::account,ctx,0.00133,0.96863
ctx::frequency,tgt::account,ctx,0.96711,0.99094
ctx::district_id,tgt::amount,ctx,0.85822,0.88307
ctx::date,tgt::amount,ctx,0.00133,0.89675
ctx::frequency,tgt::amount,ctx,0.908,0.95118
ctx::district_id,tgt::balance,ctx,0.19911,0.88312
ctx::date,tgt::balance,ctx,0.00133,0.8968
ctx::frequency,tgt::balance,ctx,0.19867,0.95119
ctx::district_id,tgt::bank,ctx,0.95733,0.96336
ctx::date,tgt::bank,ctx,0.00133,0.96895
ctx::frequency,tgt::bank,ctx,0.97111,0.99144
ctx::district_id,tgt::date,ctx,0.89422,0.89664
ctx::date,tgt::date,ctx,0.00133,0.91527
ctx::frequency,tgt::date,ctx,0.948,0.95738
ctx::district_id,tgt::k_symbol,ctx,0.95333,0.96409
ctx::date,tgt::k_symbol,ctx,0.00133,0.96937
ctx::frequency,tgt::k_symbol,ctx,0.96267,0.99185
ctx::district_id,tgt::operation,ctx,0.91289,0.96336
ctx::date,tgt::operation,ctx,0.00133,0.96895
ctx::frequency,tgt::operation,ctx,0.91956,0.99144
ctx::district_id,tgt::type,ctx,0.92533,0.96458
ctx::date,tgt::type,ctx,0.00133,0.96987
ctx::frequency,tgt::type,ctx,0.93289,0.99222
nxt::account,tgt::account,nxt,0.93733,0.97147
nxt::amount,tgt::amount,nxt,0.82933,0.88242
nxt::balance,tgt::balance,nxt,0.19378,0.88262
nxt::bank,tgt::bank,nxt,0.91733,0.97273
nxt::date,tgt::date,nxt,0.88533,0.90852
nxt::k_symbol,tgt::k_symbol,nxt,0.92667,0.99028
nxt::operation,tgt::operation,nxt,0.90622,0.98695
nxt::type,tgt::type,nxt,0.92667,0.99877
