col1,col2,type,accuracy,accuracy_max
tgt::Sequence Length,tgt::account,tgt,0.94844,0.9631
tgt::Sequence Length,tgt::amount,tgt,0.83333,0.88242
tgt::Sequence Length,tgt::balance,tgt,0.19689,0.88244
tgt::Sequence Length,tgt::bank,tgt,0.94933,0.9631
tgt::Sequence Length,tgt::date,tgt,0.87822,0.9047
tgt::Sequence Length,tgt::k_symbol,tgt,0.95067,0.96383
tgt::Sequence Length,tgt::operation,tgt,0.94444,0.9631
tgt::Sequence Length,tgt::type,tgt,0.94622,0.96432
tgt::account,tgt::amount,tgt,0.90533,0.96315
tgt::account,tgt::balance,tgt,0.19867,0.96316
tgt::account,tgt::bank,tgt,0.99156,0.99819
tgt::account,tgt::date,tgt,0.96444,0.96814
tgt::account,tgt::k_symbol,tgt,0.988,0.99819
tgt::account,tgt::operation,tgt,0.97911,0.99819
tgt::account,tgt::type,tgt,0.98089,0.99819
tgt::amount,tgt::balance,tgt,0.13511,0.96205
tgt::amount,tgt::bank,tgt,0.90578,0.96384
tgt::amount,tgt::date,tgt,0.86978,0.8956
tgt::amount,tgt::k_symbol,tgt,0.90711,0.96403
tgt::amount,tgt::operation,tgt,0.89956,0.96384
tgt::amount,tgt::type,tgt,0.89911,0.96437
tgt::balance,tgt::bank,tgt,0.19956,0.96385
tgt::balance,tgt::date,tgt,0.19911,0.89564
tgt::balance,tgt::k_symbol,tgt,0.19911,0.96404
tgt::balance,tgt::operation,tgt,0.196,0.96385
tgt::balance,tgt::type,tgt,0.19556,0.96438
tgt::bank,tgt::date,tgt,0.96489,0.96828
tgt::bank,tgt::k_symbol,tgt,0.98889,0.99865
tgt::bank,tgt::operation,tgt,0.97956,0.99888
tgt::bank,tgt::type,tgt,0.98133,0.99888
tgt::date,tgt::k_symbol,tgt,0.96533,0.969
tgt::date,tgt::operation,tgt,0.96,0.96828
tgt::date,tgt::type,tgt,0.96267,0.96935
tgt::k_symbol,tgt::operation,tgt,0.97911,0.99865
tgt::k_symbol,tgt::type,tgt,0.98044,0.99929
tgt::operation,tgt::type,tgt,0.97689,0.99888
tgt::Sequence Length,ctx::district_id,ctx,0.87956,0.883
tgt::Sequence Length,ctx::date,ctx,0.00133,0.9044
tgt::Sequence Length,ctx::frequency,ctx,0.94267,0.95126
tgt::account,ctx::district_id,ctx,0.94889,0.96336
tgt::account,ctx::date,ctx,0.00133,0.96861
tgt::account,ctx::frequency,ctx,0.99111,0.99094
tgt::amount,ctx::district_id,ctx,0.85378,0.88307
tgt::amount,ctx::date,ctx,0.00133,0.8968
tgt::amount,ctx::frequency,ctx,0.89422,0.95118
tgt::balance,ctx::district_id,ctx,0.19956,0.88312
