column,accuracy,accuracy_max
tgt::Sequence Length,0.952,0.96432
tgt::account,0.96578,0.97563
tgt::amount,0.94044,0.96605
tgt::balance,0.87333,0.96432
tgt::bank,0.96889,0.97677
tgt::date,0.97689,0.96853
tgt::k_symbol,0.97956,0.97438
tgt::operation,0.98444,0.97696
tgt::type,0.99556,0.98684
