column,accuracy,accuracy_max
tgt::Sequence Length,0.952,0.96432
tgt::account,0.99156,0.99819
tgt::amount,0.91156,0.96437
tgt::balance,0.19956,0.96438
tgt::bank,0.99156,0.99888
tgt::date,0.96711,0.96935
tgt::k_symbol,0.992,0.99929
tgt::operation,0.97956,0.99888
tgt::type,0.98267,1.0
