epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.12,0,1,64,0.5622,2.4,0.00141,
1.0,1,8,512,0.5369,17.2,0.00141,1.2451
2.0,1,16,998,0.5502,33.2,0.00141,1.193
3.0,0,24,1484,0.5337,48.9,0.00141,1.1976
4.0,1,32,1970,0.5313,64.8,0.00141,1.1923
5.0,1,40,2456,0.5269,80.8,0.00141,1.1901
6.0,1,48,2942,0.5282,96.6,0.00141,1.1865
7.0,1,56,3428,0.5236,112.7,0.00141,1.1498
8.0,0,64,3914,0.5199,128.6,0.00141,1.1715
9.0,0,72,4400,0.5159,144.4,0.00141,1.1717
10.0,1,80,4912,0.4856,161.2,0.00141,1.1424
11.0,0,88,5398,0.515,177.0,0.00141,1.1506
12.0,1,96,5884,0.5074,192.9,0.00141,1.1366
13.0,1,104,6370,0.5032,208.8,0.00141,1.1272
14.0,1,112,6856,0.4997,224.6,0.00141,1.1184
15.0,1,120,7342,0.4976,240.9,0.00141,1.1099
16.0,0,128,7828,0.4826,256.8,0.00141,1.1381
17.0,1,136,8314,0.4987,272.8,0.00141,1.104
18.0,1,144,8800,0.4864,288.7,0.00141,1.084
19.0,0,152,9312,0.4617,305.1,0.00141,1.1063
20.0,0,160,9798,0.4786,320.9,0.00141,1.0893
21.0,0,168,10284,0.4873,336.6,0.00141,1.0941
22.0,0,176,10770,0.4763,352.4,0.000705,1.0926
23.0,1,184,11256,0.4731,368.4,0.000705,1.0653
24.0,0,192,11742,0.4735,384.4,0.000705,1.0757
25.0,0,200,12228,0.4725,400.5,0.000705,1.0846
26.0,0,208,12714,0.4644,416.3,0.000705,1.0666
27.0,1,216,13200,0.4551,432.2,0.000353,1.0273
28.0,0,224,13712,0.445,448.8,0.000353,1.0668
29.0,0,232,14198,0.464,464.7,0.000353,1.0649
30.0,0,240,14684,0.4645,480.6,0.000353,1.0552
31.0,0,248,15170,0.4645,496.4,0.000176,1.0725
32.0,0,256,15656,0.4545,512.0,0.000176,1.0833
