gap_bin,seen_merchant,amount_vs_history,events,customers,frauds,invalid_labels,fraud_rate,event_share,source
-1,0,-1,138,138,9,0,0.06521739130434782,0.0006871209631643414,check
0,0,0,1,1,0,0,0.0,4.979137414234358e-06,check
0,0,1,1,1,0,0,0.0,4.979137414234358e-06,check
0,1,0,1,1,0,0,0.0,4.979137414234358e-06,check
0,1,1,1,1,0,0,0.0,4.979137414234358e-06,check
1,0,0,7,7,0,0,0.0,3.4853961899640505e-05,check
1,0,1,6,6,0,0,0.0,2.987482448540615e-05,check
1,0,2,2,2,0,0,0.0,9.958274828468716e-06,check
1,1,0,21,19,0,0,0.0,0.00010456188569892152,check
1,1,1,14,13,0,0,0.0,6.970792379928101e-05,check
1,1,2,3,3,0,0,0.0,1.4937412242703074e-05,check
2,0,-1,1,1,1,0,1.0,4.979137414234358e-06,check
2,0,0,93,58,2,0,0.021505376344086023,0.00046305977952379527,check
2,0,1,73,53,1,0,0.0136986301369863,0.00036347703123910816,check
2,0,2,35,31,3,0,0.08571428571428572,0.00017426980949820253,check
2,1,0,219,72,3,0,0.0136986301369863,0.0010904310937173245,check
2,1,1,149,65,1,0,0.006711409395973154,0.0007418914747209193,check
2,1,2,78,48,4,0,0.05128205128205128,0.0003883727183102799,check
3,0,-1,10,9,3,0,0.3,4.979137414234358e-05,check
3,0,0,423,110,6,0,0.014184397163120567,0.0021061751262211334,check
3,0,1,240,108,3,0,0.0125,0.001194992979416246,check
3,0,2,120,76,15,0,0.125,0.000597496489708123,check
3,1,0,1031,106,2,0,0.0019398642095053346,0.0051334906740756235,check
3,1,1,608,97,2,0,0.003289473684210526,0.0030273155478544897,check
3,1,2,332,84,21,0,0.06325301204819277,0.0016530736215258069,check
4,0,-1,35,30,7,0,0.2,0.00017426980949820253,check
4,0,0,2445,132,15,0,0.006134969325153374,0.012173990977803006,check
4,0,1,1276,128,5,0,0.003918495297805642,0.006353379340563041,check
4,0,2,711,120,70,0,0.09845288326300984,0.0035401667015206285,check
4,1,0,5901,126,24,0,0.004067107269954245,0.029381889881396946,check
4,1,1,3434,124,7,0,0.0020384391380314504,0.017098357880480787,check
4,1,2,1829,114,88,0,0.04811372334609076,0.009106842330634642,check
5,0,-1,74,56,9,0,0.12162162162162163,0.0003684561686533425,check
5,0,0,6969,136,38,0,0.0054527191849619745,0.03469960863979924,check
5,0,1,3644,132,12,0,0.003293084522502744,0.01814397673747,check
5,0,2,1974,128,71,0,0.03596757852077001,0.009828817255698622,check
5,1,-1,1,1,0,0,0.0,4.979137414234358e-06,check
5,1,0,15465,130,30,0,0.0019398642095053346,0.07700236011113434,check
5,1,1,9472,129,4,0,0.0004222972972972973,0.04716238958762784,check
5,1,2,4843,125,99,0,0.02044187487094776,0.024113962497136997,check
6,0,-1,316,134,17,0,0.05379746835443038,0.001573407422898057,check
6,0,0,22828,131,38,0,0.0016646223935517786,0.11366374889214192,check
6,0,1,14500,131,10,0,0.000689655172413793,0.07219749250639819,check
6,0,2,6909,134,112,0,0.016210739614994935,0.03440086039494518,check
6,1,0,37691,129,49,0,0.0013000451036056352,0.1876686682799072,check
6,1,1,28578,129,17,0,0.0005948631814682623,0.14229378902398948,check
6,1,2,14215,128,141,0,0.009919099542736546,0.0707784383433414,check
7,0,-1,113,69,1,0,0.008849557522123894,0.0005626425278084825,check
7,0,0,3814,129,6,0,0.0015731515469323545,0.01899043009788984,check
7,0,1,2450,126,0,0,0.0,0.012198886664874177,check
7,0,2,1037,123,9,0,0.008678881388621022,0.005163365498561029,check
7,1,-1,2,2,0,0,0.0,9.958274828468716e-06,check
7,1,0,3253,129,2,0,0.0006148170919151552,0.016197134008504366,check
7,1,1,2445,129,0,0,0.0,0.012173990977803006,check
7,1,2,1007,125,12,0,0.011916583912611719,0.005013991376133999,check
