run,intervention,field,group,events,nll,accuracy
seed_20260927,teacher,gap,all,68939,4.463343687713138,0.03627844906366498
seed_20260927,teacher,gap,first,0,,
seed_20260927,teacher,gap,later,68939,4.463343687713138,0.03627844906366498
seed_20260927,teacher,gap,class_0,68225,4.460882527380035,0.036496885305972886
seed_20260927,teacher,gap,class_1,714,4.698515485648682,0.015406162464985995
seed_20260927,teacher,receiver_or_mark,all,69086,6.505754746618543,0.0033870827664070867
seed_20260927,teacher,receiver_or_mark,first,147,6.40493967743958,0.006802721088435374
seed_20260927,teacher,receiver_or_mark,later,68939,6.505969716594453,0.003379799532920408
seed_20260927,teacher,receiver_or_mark,class_0,68360,6.507399006417232,0.0033352837916910474
seed_20260927,teacher,receiver_or_mark,class_1,726,6.350931606345268,0.008264462809917356
seed_20260927,teacher,amount_or_numeric_value,all,69086,4.567255889164916,0.018498682801146398
seed_20260927,teacher,amount_or_numeric_value,first,147,4.582771237204675,0.034013605442176874
seed_20260927,teacher,amount_or_numeric_value,later,68939,4.567222805479893,0.018465600023208923
seed_20260927,teacher,amount_or_numeric_value,class_0,68360,4.582823695286873,0.014204212990052662
seed_20260927,teacher,amount_or_numeric_value,class_1,726,3.1013946956428944,0.4228650137741047
seed_20260927,teacher,category,all,69086,2.119575641402458,0.3294589352401355
seed_20260927,teacher,category,first,147,2.0124641093267064,0.41496598639455784
seed_20260927,teacher,category,later,68939,2.1198040374513583,0.3292766068553359
seed_20260927,teacher,category,class_0,68360,2.1238873855587403,0.32754534815681685
seed_20260927,teacher,category,class_1,726,1.7135827618935877,0.509641873278237
seed_20260927,teacher,event_is_fraud,all,69086,0.02155977723750734,0.99410879194048
seed_20260927,teacher,event_is_fraud,first,147,0.15151605877841562,0.9523809523809523
seed_20260927,teacher,event_is_fraud,later,68939,0.0212826688752376,0.9941977690421967
seed_20260927,teacher,event_is_fraud,class_0,68360,0.003709043708246482,0.9991515506143944
seed_20260927,teacher,event_is_fraud,class_1,726,1.7023809123067533,0.5192837465564738
seed_20260927,shuffle_current_merchant,gap,all,68939,4.463343687713138,0.03627844906366498
seed_20260927,shuffle_current_merchant,gap,first,0,,
seed_20260927,shuffle_current_merchant,gap,later,68939,4.463343687713138,0.03627844906366498
seed_20260927,shuffle_current_merchant,gap,class_0,68225,4.460882527380035,0.036496885305972886
seed_20260927,shuffle_current_merchant,gap,class_1,714,4.698515485648682,0.015406162464985995
seed_20260927,shuffle_current_merchant,receiver_or_mark,all,69086,6.505754746618543,0.0033870827664070867
seed_20260927,shuffle_current_merchant,receiver_or_mark,first,147,6.40493967743958,0.006802721088435374
seed_20260927,shuffle_current_merchant,receiver_or_mark,later,68939,6.505969716594453,0.003379799532920408
seed_20260927,shuffle_current_merchant,receiver_or_mark,class_0,68360,6.507399006417232,0.0033352837916910474
