gap_bin,seen_merchant,amount_vs_history,events,customers,frauds,invalid_labels,fraud_rate,event_share,source
-1,0,-1,147,147,12,0,0.08163265306122448,0.0008258566155609365,original_validation
0,1,1,2,2,0,0,0.0,1.1236144429400496e-05,original_validation
1,0,0,6,6,0,0,0.0,3.3708433288201484e-05,original_validation
1,0,1,2,2,0,0,0.0,1.1236144429400496e-05,original_validation
1,0,2,2,2,0,0,0.0,1.1236144429400496e-05,original_validation
1,1,0,25,21,0,0,0.0,0.0001404518053675062,original_validation
1,1,1,8,8,0,0,0.0,4.494457771760198e-05,original_validation
1,1,2,2,2,1,0,0.5,1.1236144429400496e-05,original_validation
2,0,0,79,57,1,0,0.012658227848101266,0.00044382770496131956,original_validation
2,0,1,43,37,0,0,0.0,0.00024157710523211066,original_validation
2,0,2,27,25,2,0,0.07407407407407407,0.0001516879497969067,original_validation
2,1,0,157,62,1,0,0.006369426751592357,0.0008820373377079389,original_validation
2,1,1,112,52,0,0,0.0,0.0006292240880464277,original_validation
2,1,2,50,33,0,0,0.0,0.0002809036107350124,original_validation
3,0,-1,7,7,2,0,0.2857142857142857,3.9326505502901734e-05,original_validation
3,0,0,355,110,8,0,0.022535211267605635,0.001994415636218588,original_validation
3,0,1,194,93,6,0,0.030927835051546393,0.001089906009651848,original_validation
3,0,2,92,63,17,0,0.18478260869565216,0.0005168626437524228,original_validation
3,1,0,771,99,7,0,0.009079118028534372,0.004331533677533891,original_validation
3,1,1,448,93,3,0,0.006696428571428571,0.002516896352185711,original_validation
3,1,2,239,77,19,0,0.0794979079497908,0.0013427192593133592,original_validation
4,0,-1,37,30,14,0,0.3783783783783784,0.00020786867194390917,original_validation
4,0,0,2020,138,34,0,0.016831683168316833,0.0113485058736945,original_validation
4,0,1,1112,140,17,0,0.015287769784172662,0.006247296302746675,original_validation
4,0,2,612,128,96,0,0.1568627450980392,0.0034382601953965516,original_validation
4,1,0,4418,131,15,0,0.0033952014486192846,0.024820643044545693,original_validation
4,1,1,2723,123,9,0,0.0033051781123760557,0.015298010640628775,original_validation
4,1,2,1308,116,87,0,0.06651376146788991,0.007348438456827924,original_validation
5,0,-1,79,63,17,0,0.21518987341772153,0.00044382770496131956,original_validation
5,0,0,5798,138,33,0,0.005691617799241117,0.032573582700832035,original_validation
5,0,1,3320,141,15,0,0.004518072289156626,0.01865199975280482,original_validation
5,0,2,1677,138,113,0,0.06738223017292785,0.009421507104052316,original_validation
5,1,-1,1,1,0,0,0.0,5.618072214700248e-06,original_validation
5,1,0,11690,135,30,0,0.0025662959794696323,0.0656752641898459,original_validation
5,1,1,7780,136,7,0,0.0008997429305912597,0.04370860183036793,original_validation
5,1,2,3526,129,100,0,0.02836074872376631,0.019809322629033073,original_validation
6,0,-1,312,140,14,0,0.04487179487179487,0.0017528385309864773,original_validation
6,0,0,22224,142,54,0,0.002429805615550756,0.12485603689949831,original_validation
6,0,1,14177,140,18,0,0.0012696621288001693,0.0796474097878054,original_validation
6,0,2,6575,141,140,0,0.02129277566539924,0.03693882481165413,original_validation
