run,intervention,field,group,events,nll,accuracy
seed_20260928,zero_history_after_first,amount_or_numeric_value,class_0,68360,4.621758530999988,0.009055002925687537
seed_20260928,zero_history_after_first,amount_or_numeric_value,class_1,726,3.82419654603832,0.22865013774104684
seed_20260928,zero_history_after_first,category,all,69086,2.0270072530091348,0.3385490548012622
seed_20260928,zero_history_after_first,category,first,147,1.807375775308025,0.46258503401360546
seed_20260928,zero_history_after_first,category,later,68939,2.02747557757465,0.33828457041732546
seed_20260928,zero_history_after_first,category,class_0,68360,2.0331391862132016,0.3359420713867759
seed_20260928,zero_history_after_first,category,class_1,726,1.449625773904409,0.5840220385674931
seed_20260928,zero_history_after_first,event_is_fraud,all,69086,0.07503661813336866,0.9903453666444721
seed_20260928,zero_history_after_first,event_is_fraud,first,147,0.17722731669351052,0.9659863945578231
seed_20260928,zero_history_after_first,event_is_fraud,later,68939,0.0748187148755851,0.9903973077648356
seed_20260928,zero_history_after_first,event_is_fraud,class_0,68360,0.05840349498838325,0.9983469865418373
seed_20260928,zero_history_after_first,event_is_fraud,class_1,726,1.641207827763124,0.2369146005509642
