kappa,source,group,dimension,bin,metric,mean,q05,q95,minimum,maximum,adequate_all,min_entities,triplet_0,triplet_1,triplet_2,triplet_3,triplet_4,triplet_5,triplet_6,triplet_7,triplet_8,triplet_9
0,JOINT_BIN,0,all,all,continuation,0.3154088050314465,0.31334770662600847,0.3183672415983736,0.31275808398449906,0.31857092941998594,True,1834,0.31406835652118664,0.31857092941998594,0.31518010291595194,0.3151959850073058,0.31275808398449906,0.3149577536369989,0.3163236134934248,0.318118289816403,0.3141080617495711,0.31480687376913785
0,JOINT_BIN,0,all,all,occupancy,1.0,1.0,1.0,1.0,1.0,True,1834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,JOINT_BIN,0,all,all,law_residual,-0.00022103710936639373,-0.00122736024355543,0.001285898086501953,-0.0014440966144306,0.0014161996083117332,True,1834,-0.000962460234708,0.0014161996083117332,-0.0003411584057209334,-0.0001891104366293333,-0.0014440966144306,-0.0008007141391234334,0.0001393088761886631,0.0011266406709566665,-0.0006703164763743333,-0.00048466394213436665
0,JOINT_BIN,0,history,1-4,continuation,0.31518084332969826,0.30741775717920755,0.3211945656125045,0.3054343874954562,0.3213376953834968,True,1834,0.31225009087604505,0.3164303889494729,0.3168393311523083,0.3137041075972373,0.30984187568157034,0.3154307524536532,0.32101962922573607,0.3213376953834968,0.3195201744820065,0.3054343874954562
0,JOINT_BIN,0,history,1-4,occupancy,0.1747665332570993,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,True,1834,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926
0,JOINT_BIN,0,history,1-4,law_residual,-0.0004234301619888303,-0.004788091623220486,0.0028557616280927524,-0.006695020182433666,0.003251994198583333,True,1834,-0.0015211219977698664,-0.00033808652278476673,-0.00015571204146333333,-0.0010031712031335668,-0.0024574011619599334,-5.644943790846681e-05,0.003251994198583333,0.002369189353711029,0.002371477375270933,-0.006695020182433666
0,JOINT_BIN,0,history,5-8,continuation,0.3150172664485641,0.31157988004362047,0.3186386768447837,0.3110687022900763,0.3201108687749909,True,1834,0.3110687022900763,0.3168393311523083,0.3134769174845511,0.3151126862958924,0.31674845510723365,0.31225009087604505,0.3201108687749909,0.3164758269720101,0.3122046528535078,0.31588513267902585
0,JOINT_BIN,0,history,5-8,occupancy,0.1747665332570993,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,True,1834,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926,0.17476653325709926
0,JOINT_BIN,0,history,5-8,law_residual,-0.00041349412369911934,-0.0030693670792368848,0.002356552112941094,-0.0033852941122725997,0.0027242294417727,True,1834,-0.0025729234526362665,0.0017988056703319667,-0.0005746678150632332,-0.0012758165963166334,-0.0003839195395015334,-0.0026832340388598997,0.0019071687110358002,0.0003107104945185058,-0.0033852941122725997,0.0027242294417727
0,JOINT_BIN,0,history,9-16,continuation,0.3161736106344521,0.31294529480403593,0.31905415608483767,0.31127736975770465,0.31965131443475875,True,1834,0.3153270643146407,0.31827853661884814,0.314983869860663,0.31708879584505906,0.31127736975770465,0.3150067494909282,0.3158075365502093,0.31832429587937855,0.31599057359233074,0.31965131443475875
0,JOINT_BIN,0,history,9-16,occupancy,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,True,1834,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381,0.3470792834000381
0,JOINT_BIN,0,history,9-16,law_residual,0.00028206227815331995,-0.0015136246597699267,0.0014174138688635859,-0.002122261861902067,0.0017070145601788666,True,1834,-0.0007697347460528665,0.0010634574683671333,0.0006366232993584667,0.0008541334449999333,-0.002122261861902067,-0.00019374614529703334,0.00018329153791856668,0.0017070145601788666,0.0004862369124846333,0.0009756083114775666
0,JOINT_BIN,0,history,17-31,continuation,0.3148907211098023,0.31087553985080485,0.319263185446931,0.3099332548095799,0.32113597696636564,True,1605,0.3154037429655804,0.32113597696636564,0.31542991755005884,0.3139379662347859,0.3138332678968721,0.3161889804999345,0.3120272215678576,0.31697421803428866,0.3099332548095799,0.31404266457269986
0,JOINT_BIN,0,history,17-31,occupancy,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,True,1605,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633,0.3033876500857633
0,JOINT_BIN,0,history,17-31,law_residual,-0.0005691356476931601,-0.0024791067104152683,0.001533063113866889,-0.0027224471247747333,0.0026098977020374663,True,1605,6.658438377079989e-05,0.0026098977020374663,-0.0014320662315993667,-0.0002876572714088333,-0.0006952679823608335,-0.0008394009522919667,-0.0027224471247747333,0.0002169319505473001,-0.0021816906484203665,-0.0004262403024310666
0,JOINT_BIN,0,run,1,continuation,0.16258052666468265,0.1605335276460552,0.16477922308551488,0.16025506095850683,0.16485980908532807,True,1834,0.16339591350320137,0.16468072908574316,0.1614384046577179,0.16323719720259056,0.16087387581972543,0.16025506095850683,0.16281107781175533,0.16485980908532807,0.1614389343079551,0.16281426421430242
0,JOINT_BIN,0,run,1,occupancy,0.6983625563814243,0.6954446191474494,0.7005526967791118,0.6953338415602567,0.7010672765389746,True,1834,0.6999237659615017,0.6953338415602567,0.6985182008766914,0.6987723143383521,0.7010672765389746,0.69847055460263,0.6972873387967727,0.6955800139762404,0.69974906295661,0.6989231942062131
0,JOINT_BIN,0,run,1,law_residual,0.00018307417439393238,-0.0017083406672784597,0.002335214234043179,-0.0019486141687349724,0.002406987969090844,True,1834,0.0007061060046736335,0.0022474907800960333,-0.000705606183769,0.0007320790010615525,-0.0014146730543871666,-0.0019486141687349724,0.00039922059538033335,0.002406987969090844,-0.0008564967816539333,0.00026424758218199993
0,JOINT_BIN,0,run,2-3,continuation,0.6397107650385417,0.6341608324478799,0.6457614215745522,0.6321566015675456,0.6484799202790732,True,1766,0.6321566015675456,0.6399038505805982,0.6424388120468042,0.6366104479682885,0.6412543208742042,0.6484799202790732,0.641880253542241,0.6383780971309457,0.6387988940404465,0.6372064523552705
0,JOINT_BIN,0,run,2-3,occupancy,0.16921891874722056,0.16788720538720536,0.1709460961819452,0.16772282574169364,0.17129629629629628,True,1766,0.16953338415602567,0.17051807381996056,0.1681039959341846,0.16918397814624223,0.16772282574169364,0.16838987357855276,0.17009719839908513,0.17129629629629628,0.16808811384283082,0.16925544755733432
0,JOINT_BIN,0,run,2-3,law_residual,-0.0008624047773235488,-0.006448715362770089,0.004187025044578296,-0.008895380172835634,0.006391447771495168,True,1766,-0.008895380172835634,-0.00034539136817130016,0.0014927306005687998,-0.0034583472615788667,0.0005264819354176001,0.006391447771495168,0.0012344468790219775,-0.0017849686278185667,-0.0011523575937368664,-0.0026327099355977998
0,JOINT_BIN,0,run,4-7,continuation,0.7121355507237178,0.7100881814443314,0.7145861095569741,0.7099424635709172,0.7151997570868006,True,1334,0.7131782395241385,0.7133663947891926,0.7151997570868006,0.7115816963676324,0.7099424635709172,0.7102662810673932,0.7104021901884545,0.7131161275346235,0.7138360959094084,0.7104662611986178
0,JOINT_BIN,0,run,4-7,occupancy,0.10802283844736671,0.10632107235880817,0.10960628295533952,0.1059494314211295,0.10971348707197759,True,1334,0.1059494314211295,0.10971348707197759,0.10947525570167077,0.10740264278000124,0.1073549965059399,0.10904643923511843,0.10803792643415279,0.10931643478813284,0.10677530017152653,0.10715647036401747
0,JOINT_BIN,0,run,4-7,law_residual,-0.0008218197596368302,-0.002874665192512767,0.001490154760723185,-0.0030315884993471665,0.0021088287375622666,True,1334,0.00021636826540536664,0.0006557715499336999,0.0021088287375622666,-0.0014307171675525334,-0.0030315884993471665,-0.002682870039715167,-0.002525868913530734,0.0002606024268955332,0.0007339976779198667,-0.0025227216339394334
0,JOINT_BIN,0,run,8+,continuation,0.6837224197396873,0.6756424858268305,0.6905703235667179,0.6743708853083853,0.6907236847393651,True,324,0.6903828821334823,0.6809560411119452,0.6743708853083853,0.6897097367616469,0.6787382001282619,0.6796417247150651,0.6855853387370793,0.6771966642382635,0.6907236847393651,0.6899190395233785
0,JOINT_BIN,0,run,8+,occupancy,0.024395686423988254,0.023828695762657965,0.02506233720856357,0.023807254939330363,0.0253875230290324,True,324,0.02459341846134293,0.024434597547805036,0.023902547487453133,0.024641064735404266,0.0238549012133917,0.024093132583698534,0.024577536369989134,0.023807254939330363,0.0253875230290324,0.024664887872435
0,JOINT_BIN,0,run,8+,law_residual,-0.005112994391045128,-0.013010233498212575,0.001474892376506658,-0.013870128098542699,0.0015396279397263332,True,324,0.0015396279397263332,-0.0082214542887788,-0.013870128098542699,0.0013543653437533998,-0.009599784004130899,-0.0093273082942267,-0.003751308899371,-0.0119592512089202,0.0013957711325715,0.0013095264674678
0,JOINT_BIN,1,all,all,continuation,0.3150326797385621,0.30840141612200433,0.3221711601307189,0.3082788671023965,0.3237336601307189,True,214,0.31719771241830064,0.3237336601307189,0.3202614379084967,0.3122957516339869,0.30855119825708055,0.31304466230936817,0.31311274509803927,0.3184232026143791,0.3082788671023965,0.315427559912854
0,JOINT_BIN,1,all,all,occupancy,1.0,1.0,1.0,1.0,1.0,True,214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,JOINT_BIN,1,all,all,law_residual,-0.0005089537786993008,-0.0038423407876506874,0.003256582182055867,-0.003917917937611333,0.0045416285402662,True,214,0.0005271634964241663,0.0045416285402662,0.0016859699664654667,-0.0013747164444148998,-0.0037499687154765645,-0.0011018343664723998,-0.002350326135378733,0.0009271470627865665,-0.003917917937611333,-0.00027668325358147695
0,JOINT_BIN,1,history,1-4,continuation,0.31405763239875395,0.2939252336448598,0.3222936137071651,0.2827102803738317,0.32281931464174457,True,214,0.3173676012461059,0.3119158878504673,0.2827102803738317,0.3173676012461059,0.3076323987538941,0.3189252336448598,0.3216510903426791,0.3197040498442367,0.32281931464174457,0.3204828660436137
