kappa,source,group,dimension,bin,metric,reference,model_mean,oracle_mean,delta,oracle_q05,oracle_q95,adequate,all_three_outside_same_side,generated_error_candidate
0,U,0,all,all,continuation,JOINT_BIN,0.31719712851788323,0.3154088050314465,0.0017883234864367048,0.31334770662600847,0.3183672415983736,True,False,False
0,U,0,all,all,continuation,JOINT_CONT,0.31719712851788323,0.3154088050314465,0.0017883234864367048,0.31334770662600847,0.3183672415983736,True,False,False
0,U,0,all,all,occupancy,JOINT_BIN,1.0,1.0,0.0,1.0,1.0,True,False,False
0,U,0,all,all,occupancy,JOINT_CONT,1.0,1.0,0.0,1.0,1.0,True,False,False
0,U,0,history,1-4,continuation,JOINT_BIN,0.3069338422391857,0.31518084332969826,-0.008247001090512573,0.30741775717920755,0.3211945656125045,True,False,False
0,U,0,history,1-4,continuation,JOINT_CONT,0.3069338422391857,0.31518084332969826,-0.008247001090512573,0.30741775717920755,0.3211945656125045,True,False,False
0,U,0,history,1-4,occupancy,JOINT_BIN,0.17476653325709926,0.1747665332570993,-2.7755575615628914e-17,0.17476653325709926,0.17476653325709926,True,False,False
0,U,0,history,1-4,occupancy,JOINT_CONT,0.17476653325709926,0.1747665332570993,-2.7755575615628914e-17,0.17476653325709926,0.17476653325709926,True,False,False
0,U,0,history,5-8,continuation,JOINT_BIN,0.3220798497516055,0.3150172664485641,0.007062583303041381,0.31157988004362047,0.3186386768447837,True,False,False
0,U,0,history,5-8,continuation,JOINT_CONT,0.3220798497516055,0.3150172664485641,0.007062583303041381,0.31157988004362047,0.3186386768447837,True,False,False
0,U,0,history,5-8,occupancy,JOINT_BIN,0.17476653325709926,0.1747665332570993,-2.7755575615628914e-17,0.17476653325709926,0.17476653325709926,True,False,False
0,U,0,history,5-8,occupancy,JOINT_CONT,0.17476653325709926,0.1747665332570993,-2.7755575615628914e-17,0.17476653325709926,0.17476653325709926,True,False,False
0,U,0,history,9-16,continuation,JOINT_BIN,0.3207419101440654,0.3161736106344521,0.004568299509613294,0.31294529480403593,0.31905415608483767,True,True,False
0,U,0,history,9-16,continuation,JOINT_CONT,0.3207419101440654,0.3161736106344521,0.004568299509613294,0.31294529480403593,0.31905415608483767,True,True,False
0,U,0,history,9-16,occupancy,JOINT_BIN,0.3470792834000381,0.3470792834000381,0.0,0.3470792834000381,0.3470792834000381,True,False,False
0,U,0,history,9-16,occupancy,JOINT_CONT,0.3470792834000381,0.3470792834000381,0.0,0.3470792834000381,0.3470792834000381,True,False,False
0,U,0,history,17-31,continuation,JOINT_BIN,0.31624132966889146,0.3148907211098023,0.0013506085590891392,0.31087553985080485,0.319263185446931,True,False,False
0,U,0,history,17-31,continuation,JOINT_CONT,0.31624132966889146,0.3148907211098023,0.0013506085590891392,0.31087553985080485,0.319263185446931,True,False,False
0,U,0,history,17-31,occupancy,JOINT_BIN,0.3033876500857633,0.3033876500857633,0.0,0.3033876500857633,0.3033876500857633,True,False,False
0,U,0,history,17-31,occupancy,JOINT_CONT,0.3033876500857633,0.3033876500857633,0.0,0.3033876500857633,0.3033876500857633,True,False,False
0,U,0,run,1,continuation,JOINT_BIN,0.16761978730239066,0.16258052666468265,0.005039260637708015,0.1605335276460552,0.16477922308551488,True,True,False
