trial,kappa,source,group,dimension,bin,continuation,occupancy,law_residual,adequate,min_entities
0,0,U,0,all,all,0.3164109649958706,1.0,0.0010975847410792667,True,1834
0,0,U,0,history,1-4,0.30566157760814244,0.17476653325709926,-0.0057584628055607325,True,1834
0,0,U,0,history,5-8,0.31406761177753545,0.17476653325709926,0.0013868634525833667,True,1834
0,0,U,0,history,9-16,0.3227171848902921,0.3470792834000381,0.0040977928179516,True,1834
0,0,U,0,history,17-31,0.3167386467739824,0.3033876500857633,0.0014480978704552666,True,1605
0,0,U,0,run,1,0.16826588624849734,0.6974064544819262,0.004906385888457533,True,1834
0,0,U,0,run,2-3,0.6104786856996466,0.17186805158503268,-0.022765614058733934,True,1788
0,0,U,0,run,4-7,0.7264812886735507,0.10483768502636422,0.013730353413772033,True,1308
0,0,U,0,run,8+,0.6938959335940064,0.02588780890667677,0.005272548908005233,True,354
0,0,U,1,all,all,0.31515522875816987,1.0,0.0004742751855165334,True,214
0,0,U,1,history,1-4,0.32827102803738323,0.1748366013071895,0.005751260411764234,True,214
0,0,U,1,history,5-8,0.3173676012461059,0.1748366013071895,0.002440923613503433,True,214
0,0,U,1,history,9-16,0.3140950137416568,0.346813725490196,-0.0010526014421160333,True,214
0,0,U,1,history,17-31,0.3075370121130552,0.3035130718954248,-0.0019536614862901004,True,182
0,0,U,1,run,1,0.16939441062137198,0.6984613289760349,0.0062620742268059,True,214
0,0,U,1,run,2-3,0.6037646827506853,0.1730664488017429,-0.03087130661591317,True,208
0,0,U,1,run,4-7,0.7286410470620996,0.10164760348583873,0.0156445303750831,True,143
0,0,U,1,run,8+,0.6812805164994048,0.026824618736383365,-0.0062605341128194,False,35
0,0,G,0,all,all,0.3168238993710692,1.0,0.0012383933664145668,True,1834
0,0,G,0,history,1-4,0.30457106506724824,0.17476653325709926,-0.006346604279169333,True,1834
0,0,G,0,history,5-8,0.3150218102508178,0.17476653325709926,0.001653129424410567,True,1834
0,0,G,0,history,9-16,0.3203834626032443,0.3470792834000381,0.0024891136651747667,True,1834
