kappa,source,trial,tape,group,dimension,bin,entities,transitions,adequate,continuation,oracle_continuation,occupancy,law_residual,oracle_information_shift,continuation_lo,continuation_hi,occupancy_lo,occupancy_hi
0,real,-1,-1,0,all,all,6193,142270,True,0.31215997750755603,0.3141692437920821,1.0,-0.0020092662845260217,0.0,0.30781918701246974,0.3157288534387018,1.0,1.0
0,real,-1,-1,0,history,1-4,6193,24772,True,0.3127724850637817,0.31373012413247797,0.1741196316862304,-0.0009576390686962742,0.0,0.3037300177619893,0.32153540287421284,0.17317479019379978,0.17510200399736914
0,real,-1,-1,0,history,5-8,6193,24772,True,0.309865977716777,0.31387165001336653,0.1741196316862304,-0.004005672296589568,0.0,0.30061359599547877,0.31794061844017435,0.17317479019379978,0.17510200399736914
0,real,-1,-1,0,history,9-16,6193,49173,True,0.3138307607833567,0.3151005160488541,0.3456315456526323,-0.0012697552654973583,0.0,0.3070070937073649,0.3205325047244103,0.3439567115692369,0.34747141620773203
0,real,-1,-1,0,history,17-31,5470,43553,True,0.31122999563749915,0.31353682845012637,0.3061291909749069,-0.0023068328126272498,0.0,0.30446392138327716,0.31771625518211,0.3023909656536348,0.30971440842811965
0,real,-1,-1,0,run,1,6193,99784,True,0.16191974665276998,0.16253716925055217,0.7013706333028749,-0.0006174225977821959,0.0,0.15958432867246258,0.1640748916765217,0.6978682986960172,0.7058761363208297
0,real,-1,-1,0,run,2-3,6005,23962,True,0.6350054252566564,0.6405109967867622,0.1684262318127504,-0.005505571530105803,0.0,0.6284491780957914,0.6408101788365819,0.16654085302065852,0.1701469513739666
0,real,-1,-1,0,run,4-7,4627,15156,True,0.7088941673264714,0.713233628440721,0.10652983763267028,-0.004339461114249736,0.0,0.7021276792249214,0.715974201519068,0.104203975716651,0.10847709235100349
0,real,-1,-1,0,run,8+,1187,3368,True,0.6811163895486936,0.6890011995696124,0.023673297251704504,-0.007884810020918715,0.0,0.6623878091163728,0.6978671741050309,0.022077647728230267,0.02526302967544332
0,real,-1,-1,1,all,all,653,15001,True,0.31017932137857473,0.3128985625866,1.0,-0.0027192412080251993,0.0,0.2982199730063385,0.32446589196815434,1.0,1.0
0,real,-1,-1,1,history,1-4,653,2612,True,0.3093415007656968,0.31376606950027075,0.17412172521831878,-0.004424568734573985,0.0,0.28404479326186827,0.3380647013782542,0.1712859927548241,0.17718204605163487
0,real,-1,-1,1,history,5-8,653,2612,True,0.29058192955589585,0.30646952236342584,0.17412172521831878,-0.015887592807529948,0.0,0.26531393568147016,0.3173908882082695,0.1712859927548241,0.17718204605163487
0,real,-1,-1,1,history,9-16,653,5187,True,0.3101985733564681,0.3105272217232208,0.3457769482034531,-0.0003286483667526977,0.0,0.2901170961022656,0.3326916863869864,0.3402966834872463,0.3514483213877502
0,real,-1,-1,1,history,17-31,582,4590,True,0.3217864923747277,0.3187431965872035,0.3059796013599093,0.0030432957875241185,0.0,0.3009004873271927,0.3442719284722509,0.2944697774904271,0.3170386878929829
