dataset,model,time_action_tv,action_amount_tv
berka,D,0.13110864322570343,0.16498650107308074
berka,D_bin,0.11674189961400065,0.12248116519825272
berka,Transition,0.0931111161108616,0.0586521769780956
berka,Marginal,0.1490101520491293,0.0292849896030519
berka,ARGN,0.0883614430641034,0.2184702780483291
berka,CPAR_tail,0.2652342658907328,0.4708331004733905
sparkov,D,0.08802876019662811,0.08248007607052253
sparkov,D_bin,0.07317384406980526,0.05834734505545572
sparkov,Transition,0.0774380797811865,0.048751561282368
sparkov,Marginal,0.1651820588147199,0.0431453842352812
sparkov,ARGN,0.1962265307100905,0.2243546539234946
sparkov,CPAR_tail,0.4283063410400802,0.4944386401040486
