dataset,model,seed,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
berka,D,20261021,0.0620178357177975,0.05544205650843632,0.05544205650843632,0.16597360961702037,0.16597360961702037,0.14939772152605624,0.15708562493321954,0.07481520297683976,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.38824333561175667,0.1252816052403183,0.10370791055563292
berka,D,20261022,0.06767246816668833,0.059155617194207206,0.059155617194207206,0.1639993925291411,0.1639993925291411,0.16389775571693296,0.18782860329941425,0.07537223707970539,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3781768470763686,0.13693568121108857,0.1172543747525514
berka,D_bin,20261021,0.046140184174618355,0.07199834789916477,0.07199834789916477,0.11358885830229053,0.11358885830229053,0.14751893643334119,0.17622835690155245,0.02686510104934131,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.39144348474492013,0.10626374442843092,0.061669703062998016
berka,D_bin,20261022,0.052695829486244544,0.0937536242499725,0.0937536242499725,0.1313734720942149,0.1313734720942149,0.17278689521339752,0.22230280848061296,0.03819146114094246,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3656248058161934,0.12722005479957038,0.06216327150144351
sparkov,D,20261021,0.059725952346801864,0.05876088370354223,0.02236976516879744,0.08100170736749729,0.1398002037690153,0.08780235757155201,0.0877760958265255,0.03550663071202853,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999636134290705,,
sparkov,D,20261022,0.057621595661375896,0.05924091380095062,0.02280629742106552,0.08395844477354777,0.14153238949115504,0.0882551628217042,0.08825269382594367,0.0388767805651663,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999636134290705,,
sparkov,D_bin,20261021,0.03756244141526803,0.06399264066747257,0.024478201382220288,0.05903929144865602,0.12895558355620396,0.07265177029345654,0.07265324442103788,0.03427044688422165,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,1.0,,
sparkov,D_bin,20261022,0.04110406765241142,0.06097150742275835,0.0230974627697016,0.057655398662255414,0.12610921493275662,0.07369591784615397,0.07369532296943064,0.031404833170114554,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999818067145352,,
