dataset,model,seed,threshold,cut,real_rate,generated_rate,root_tail_l1
berka,D,20261021,q99,45493.95999999996,0.010547947812077813,0.040354026118710154,0.031146644954657143
berka,D,20261021,q999,62500.0,0.0010909483004674586,0.024540446865135856,0.023449498564668395
berka,D,20261021,fit_max,87400.0,0.0,0.014916135421179675,0.014916135421179673
berka,D,20261021,ten_fit_max,874000.0,0.0,0.0014544779352602588,0.0014544779352602588
berka,D,20261022,q99,45493.95999999996,0.010547947812077813,0.03704276784056446,0.030806235225128143
berka,D,20261022,q999,62500.0,0.0010909483004674586,0.022219471436529057,0.02187655535601088
berka,D,20261022,fit_max,87400.0,0.0,0.013337872129727053,0.013337872129727053
berka,D,20261022,ten_fit_max,874000.0,0.0,0.0014235315962121682,0.0014235315962121682
berka,D_bin,20261021,q99,45493.95999999996,0.010547947812077813,0.009871882156340906,0.0018562187742285294
berka,D_bin,20261021,q999,62500.0,0.0010909483004674586,0.0010212291885869902,0.00012127900520318268
berka,D_bin,20261021,fit_max,87400.0,0.0,0.0,0.0
berka,D_bin,20261021,ten_fit_max,874000.0,0.0,0.0,0.0
berka,D_bin,20261022,q99,45493.95999999996,0.010547947812077813,0.012533267314476697,0.003573456862808408
berka,D_bin,20261022,q999,62500.0,0.0010909483004674586,0.00151637061335644,0.0004307423956840887
berka,D_bin,20261022,fit_max,87400.0,0.0,0.0,0.0
berka,D_bin,20261022,ten_fit_max,874000.0,0.0,0.0,0.0
sparkov,D,20261021,q99,540.6987999999989,0.011208054068326994,0.007471640488656195,0.005663964746780963
sparkov,D,20261021,q999,1497.577679999998,0.0009213638432108406,0.0008726003490401396,0.000407293962547791
sparkov,D,20261021,fit_max,27390.12,0.0,0.0,0.0
sparkov,D,20261021,ten_fit_max,273901.2,0.0,0.0,0.0
sparkov,D,20261022,q99,540.6987999999989,0.011208054068326994,0.007744328097731239,0.005807040695451148
sparkov,D,20261022,q999,1497.577679999998,0.0009213638432108406,0.001060451813069614,0.0004634552455875448
sparkov,D,20261022,fit_max,27390.12,0.0,0.0,0.0
sparkov,D,20261022,ten_fit_max,273901.2,0.0,0.0,0.0
sparkov,D_bin,20261021,q99,540.6987999999989,0.011208054068326994,0.00847149505526469,0.0036988279126077524
sparkov,D_bin,20261021,q999,1497.577679999998,0.0009213638432108406,0.0010846907116540624,0.0002695440569119583
sparkov,D_bin,20261021,fit_max,27390.12,0.0,0.0,0.0
sparkov,D_bin,20261021,ten_fit_max,273901.2,0.0,0.0,0.0
sparkov,D_bin,20261022,q99,540.6987999999989,0.011208054068326994,0.008410897808803568,0.003564383846743156
sparkov,D_bin,20261022,q999,1497.577679999998,0.0009213638432108406,0.0010119740159007175,9.668933644323751e-05
sparkov,D_bin,20261022,fit_max,27390.12,0.0,0.0,0.0
sparkov,D_bin,20261022,ten_fit_max,273901.2,0.0,0.0,0.0
