kappa,seed,tape,group,bin,weight,observed_repeat,observed_history_prediction,generated_history_reencoded_prediction,generated_repeat,observed_history_bias,history_and_condition_composition_shift,outcome_minus_reencoded_prediction
0,20260920,20261001,pooled,0,0.1986570950779228,0.310053451973242,0.06521746455327936,0.05835021184556318,0.061337892712117974,-0.24483598741996265,-0.006867252707716175,0.0029876808665547927
0,20260920,20261001,pooled,1,0.20001144521240408,0.3114509155645982,0.06441736984878967,0.05919977293194447,0.05983927019982624,-0.24703354571580854,-0.005217596916845195,0.0006394972678817681
0,20260920,20261001,pooled,2,0.20165192565698697,0.3109352336507536,0.0653932894028391,0.06041428825518913,0.062271456227145625,-0.24554194424791448,-0.004979001147649972,0.0018571679719564943
0,20260920,20261001,pooled,3,0.19929929866281768,0.3132337927514038,0.06595995436558494,0.05933097012070263,0.06301859048419284,-0.24727383838581884,-0.006628984244882306,0.0036876203634902058
0,20260920,20261001,pooled,4,0.20038023538986843,0.31417782572824776,0.06555854282173743,0.06086736340560683,0.06472014335406345,-0.24861928290651034,-0.004691179416130599,0.0038527799484566264
0,20260920,20261002,pooled,0,0.1986570950779228,0.310053451973242,0.06521746455327936,0.059780489617129735,0.05970149253731343,-0.24483598741996265,-0.00543697493614962,-7.899707981630366e-05
0,20260920,20261002,pooled,1,0.20001144521240408,0.3114509155645982,0.06441736984878967,0.05949530312226127,0.055804046858359956,-0.24703354571580854,-0.004922066726528396,-0.0036912562639013144
0,20260920,20261002,pooled,2,0.20165192565698697,0.3109352336507536,0.0653932894028391,0.06041595344805271,0.05876757213825177,-0.24554194424791448,-0.004977335954786395,-0.0016483813098009392
0,20260920,20261002,pooled,3,0.19929929866281768,0.3132337927514038,0.06595995436558494,0.05864438470781902,0.05575173889780631,-0.24727383838581884,-0.007315569657765919,-0.002892645810012709
0,20260920,20261002,pooled,4,0.20038023538986843,0.31417782572824776,0.06555854282173743,0.059884600709701724,0.05784763152150185,-0.24861928290651034,-0.005673942112035701,-0.002036969188199872
0,20260920,20261003,pooled,0,0.1986570950779228,0.310053451973242,0.06521746455327936,0.060070707759648956,0.061158574703063136,-0.24483598741996265,-0.0051467567936304,0.00108786694341418
0,20260920,20261003,pooled,1,0.20001144521240408,0.3114509155645982,0.06441736984878967,0.0604121010566665,0.058504414423997446,-0.24703354571580854,-0.004005268792123165,-0.0019076866326690547
0,20260920,20261003,pooled,2,0.20165192565698697,0.3109352336507536,0.0653932894028391,0.05878608615894367,0.05968720076603894,-0.24554194424791448,-0.006607203243895431,0.0009011146070952714
0,20260920,20261003,pooled,3,0.19929929866281768,0.3132337927514038,0.06595995436558494,0.06071380393598742,0.05635478637101136,-0.24727383838581884,-0.005246150429597515,-0.004359017564976066
