col1,col2,type,accuracy,accuracy_max
ctx::frequency,tgt::Sequence Length,ctx,0.93644,0.95126
ctx::district_id,tgt::account,ctx,0.93733,0.96336
ctx::date,tgt::account,ctx,0.00133,0.9684
ctx::frequency,tgt::account,ctx,0.96222,0.99094
ctx::district_id,tgt::amount,ctx,0.83022,0.88307
ctx::date,tgt::amount,ctx,0.00133,0.89604
ctx::frequency,tgt::amount,ctx,0.868,0.95118
ctx::district_id,tgt::balance,ctx,0.212,0.88312
ctx::date,tgt::balance,ctx,0.00133,0.89612
ctx::frequency,tgt::balance,ctx,0.21333,0.95119
ctx::district_id,tgt::bank,ctx,0.94044,0.96336
ctx::date,tgt::bank,ctx,0.00133,0.96855
ctx::frequency,tgt::bank,ctx,0.96444,0.99144
ctx::district_id,tgt::date,ctx,0.872,0.89547
ctx::date,tgt::date,ctx,0.00133,0.91501
ctx::frequency,tgt::date,ctx,0.94756,0.95804
ctx::district_id,tgt::k_symbol,ctx,0.91156,0.96409
ctx::date,tgt::k_symbol,ctx,0.00133,0.96913
ctx::frequency,tgt::k_symbol,ctx,0.91911,0.99185
ctx::district_id,tgt::operation,ctx,0.87644,0.96336
ctx::date,tgt::operation,ctx,0.00133,0.96855
ctx::frequency,tgt::operation,ctx,0.87778,0.99144
ctx::district_id,tgt::type,ctx,0.92444,0.96458
ctx::date,tgt::type,ctx,0.00133,0.96962
ctx::frequency,tgt::type,ctx,0.93822,0.99222
nxt::account,tgt::account,nxt,0.94889,0.97147
nxt::amount,tgt::amount,nxt,0.79822,0.88242
nxt::balance,tgt::balance,nxt,0.19822,0.88262
nxt::bank,tgt::bank,nxt,0.94933,0.97273
nxt::date,tgt::date,nxt,0.89022,0.90788
nxt::k_symbol,tgt::k_symbol,nxt,0.91022,0.99028
nxt::operation,tgt::operation,nxt,0.86489,0.98695
nxt::type,tgt::type,nxt,0.93689,0.99877
