column,accuracy,accuracy_max
tgt::Sequence Length,0.95556,0.96432
tgt::account,0.96267,0.99819
tgt::amount,0.87422,0.96437
tgt::balance,0.21422,0.96438
tgt::bank,0.96444,0.99888
tgt::date,0.964,0.96911
tgt::k_symbol,0.91911,0.99929
tgt::operation,0.87778,0.99888
tgt::type,0.93822,1.0
